case_id,concept:name,REG_DATE,AMOUNT_REQ
173829,173829,2011-10-02T10:54:34.096+03:00,5000
173835,173835,2011-10-02T11:20:29.934+03:00,10000
173841,173841,2011-10-02T11:57:22.697+03:00,10000
173844,173844,2011-10-02T12:03:26.714+03:00,15500
178593,178593,2011-10-20T15:44:26.036+03:00,5500
173856,173856,2011-10-02T12:45:33.566+03:00,12000
173859,173859,2011-10-02T12:47:41.502+03:00,5000
173868,173868,2011-10-02T13:24:18.960+03:00,5000
173871,173871,2011-10-02T14:05:34.993+03:00,15500
173880,173880,2011-10-02T14:24:15.505+03:00,50000
173898,173898,2011-10-02T17:05:39.817+03:00,7000
173913,173913,2011-10-02T18:18:05.023+03:00,5500
173916,173916,2011-10-02T18:45:59.197+03:00,2500
173919,173919,2011-10-02T18:55:10.791+03:00,4000
173925,173925,2011-10-02T19:00:06.036+03:00,5000
173928,173928,2011-10-02T19:30:01.576+03:00,33000
173937,173937,2011-10-02T22:07:34.738+03:00,6000
173940,173940,2011-10-02T22:08:02.233+03:00,7000
173943,173943,2011-10-02T23:11:52.060+03:00,7493
183145,183145,2011-11-08T16:40:17.728+02:00,45000
173949,173949,2011-10-03T00:12:15.824+03:00,50000
173955,173955,2011-10-03T00:15:19.164+03:00,10000
173958,173958,2011-10-03T00:18:42.230+03:00,12500
173964,173964,2011-10-03T00:43:30.528+03:00,60000
173979,173979,2011-10-03T09:09:57.957+03:00,30000
173982,173982,2011-10-03T10:30:51.798+03:00,8000
173985,173985,2011-10-03T10:34:18.390+03:00,5800
173988,173988,2011-10-03T10:52:42.796+03:00,10000
210972,210972,2012-02-20T10:57:58.629+02:00,37000
174000,174000,2011-10-03T11:39:02.381+03:00,20000
174009,174009,2011-10-03T12:00:00.545+03:00,7000
174012,174012,2011-10-03T12:06:41.562+03:00,7500
178080,178080,2011-10-19T11:22:47.411+03:00,15000
174030,174030,2011-10-03T12:55:53.417+03:00,25000
174036,174036,2011-10-03T13:02:51.303+03:00,15000
174039,174039,2011-10-03T13:09:32.997+03:00,26000
174042,174042,2011-10-03T13:10:17.984+03:00,7500
174045,174045,2011-10-03T13:15:14.680+03:00,25000
174060,174060,2011-10-03T13:55:00.597+03:00,6000
174069,174069,2011-10-03T14:05:44.225+03:00,43640
174078,174078,2011-10-03T14:23:45.900+03:00,10000
174084,174084,2011-10-03T14:26:26.927+03:00,8400
174087,174087,2011-10-03T14:46:48.075+03:00,15000
174090,174090,2011-10-03T14:50:01.312+03:00,20000
174093,174093,2011-10-03T14:54:15.910+03:00,21000
174096,174096,2011-10-03T15:10:56.279+03:00,5000
174099,174099,2011-10-03T15:17:13.043+03:00,15000
174102,174102,2011-10-03T15:22:13.947+03:00,4000
174105,174105,2011-10-03T15:24:26.607+03:00,5000
174111,174111,2011-10-03T15:49:07.819+03:00,2500
174120,174120,2011-10-03T16:33:26.135+03:00,20000
174132,174132,2011-10-03T17:37:06.797+03:00,5000
174141,174141,2011-10-03T17:59:27.008+03:00,10600
174144,174144,2011-10-03T18:00:30.443+03:00,21000
181339,181339,2011-11-01T15:47:41.496+02:00,9950
174150,174150,2011-10-03T18:29:01.764+03:00,17000
174153,174153,2011-10-03T18:44:16.829+03:00,1000
174159,174159,2011-10-03T18:58:26.990+03:00,40000
174168,174168,2011-10-03T19:22:09.146+03:00,7897
174177,174177,2011-10-03T19:50:20.917+03:00,5000
174180,174180,2011-10-03T19:51:38.607+03:00,20000
174198,174198,2011-10-03T20:33:25.154+03:00,7500
176578,176578,2011-10-12T21:36:32.232+03:00,4500
174207,174207,2011-10-03T20:45:53.178+03:00,70000
174213,174213,2011-10-03T20:55:30.411+03:00,10000
174216,174216,2011-10-03T20:58:04.065+03:00,6000
174231,174231,2011-10-03T21:10:41.221+03:00,6000
174237,174237,2011-10-03T21:25:07.831+03:00,15000
174249,174249,2011-10-03T21:53:03.071+03:00,31500
174252,174252,2011-10-03T21:59:10.326+03:00,30000
174255,174255,2011-10-03T21:59:23.114+03:00,15000
174261,174261,2011-10-03T22:03:04.908+03:00,10000
174264,174264,2011-10-03T22:03:33.112+03:00,12000
192996,192996,2011-12-12T17:55:15.035+02:00,30000
174279,174279,2011-10-03T23:04:06.129+03:00,10000
174285,174285,2011-10-03T23:59:48.324+03:00,50000
174288,174288,2011-10-04T00:23:17.739+03:00,16000
174291,174291,2011-10-04T00:31:43.141+03:00,15000
174294,174294,2011-10-04T00:33:35.571+03:00,25000
174319,174319,2011-10-04T07:38:49.114+03:00,5000
174322,174322,2011-10-04T09:30:53.745+03:00,15000
174325,174325,2011-10-04T09:50:41.940+03:00,15000
174334,174334,2011-10-04T10:31:17.618+03:00,5000
174337,174337,2011-10-04T11:04:38.573+03:00,30000
178329,178329,2011-10-19T19:21:51.851+03:00,5000
174358,174358,2011-10-04T12:34:32.396+03:00,6000
174361,174361,2011-10-04T12:46:10.433+03:00,25000
174367,174367,2011-10-04T12:53:46.151+03:00,30000
182503,182503,2011-11-05T21:08:15.141+02:00,38000
174379,174379,2011-10-04T14:09:13.263+03:00,9500
195054,195054,2011-12-21T22:55:32.884+02:00,17000
181091,181091,2011-10-31T19:04:28.499+02:00,15000
174388,174388,2011-10-04T14:35:05.938+03:00,6000
174394,174394,2011-10-04T14:48:21.435+03:00,10000
174397,174397,2011-10-04T14:49:31.787+03:00,20000
174403,174403,2011-10-04T14:57:47.188+03:00,25000
190126,190126,2011-11-30T13:37:35.558+02:00,25000
174409,174409,2011-10-04T15:06:12.499+03:00,25000
174415,174415,2011-10-04T15:26:44.050+03:00,12000
174418,174418,2011-10-04T15:30:20.084+03:00,21000
182194,182194,2011-11-04T14:08:28.941+02:00,34500
174424,174424,2011-10-04T15:36:20.235+03:00,15000
174430,174430,2011-10-04T15:55:27.822+03:00,20000
174433,174433,2011-10-04T16:02:02.519+03:00,7000
174436,174436,2011-10-04T16:20:41.976+03:00,15000
174448,174448,2011-10-04T17:11:46.449+03:00,8500
174463,174463,2011-10-04T17:57:48.978+03:00,25000
174469,174469,2011-10-04T18:22:46.985+03:00,10000
174478,174478,2011-10-04T19:16:59.828+03:00,15000
174481,174481,2011-10-04T19:28:39.615+03:00,15000
174487,174487,2011-10-04T20:08:01.566+03:00,6100
174490,174490,2011-10-04T20:15:11.455+03:00,18500
191452,191452,2011-12-05T18:42:58.442+02:00,50000
174496,174496,2011-10-04T20:36:15.971+03:00,9612
174502,174502,2011-10-04T21:02:18.954+03:00,10000
174505,174505,2011-10-04T21:24:46.122+03:00,5000
174508,174508,2011-10-04T21:26:10.025+03:00,5000
174511,174511,2011-10-04T21:47:30.485+03:00,14000
174517,174517,2011-10-04T22:09:50.738+03:00,6500
174529,174529,2011-10-04T22:36:05.945+03:00,50000
174535,174535,2011-10-04T22:48:56.920+03:00,15000
174538,174538,2011-10-04T23:12:51.081+03:00,5000
198753,198753,2012-01-07T02:11:21.111+02:00,5000
174547,174547,2011-10-04T23:52:56.033+03:00,9200
174559,174559,2011-10-05T00:22:39.434+03:00,10000
174562,174562,2011-10-05T00:34:04.353+03:00,5000
174565,174565,2011-10-05T00:34:17.713+03:00,5000
174568,174568,2011-10-05T00:49:56.529+03:00,5000
174571,174571,2011-10-05T02:08:43.637+03:00,5600
174577,174577,2011-10-05T06:09:09.098+03:00,15000
190129,190129,2011-11-30T13:57:16.928+02:00,5000
174605,174605,2011-10-05T10:29:05.549+03:00,10000
174614,174614,2011-10-05T10:33:55.785+03:00,10000
174620,174620,2011-10-05T10:48:54.283+03:00,15000
174629,174629,2011-10-05T11:00:20.578+03:00,50000
174635,174635,2011-10-05T11:12:34.268+03:00,7000
183214,183214,2011-11-08T19:36:20.489+02:00,20000
174644,174644,2011-10-05T11:43:19.578+03:00,12500
174650,174650,2011-10-05T11:45:43.350+03:00,7500
174653,174653,2011-10-05T12:15:02.977+03:00,12000
174656,174656,2011-10-05T12:15:14.887+03:00,20000
174659,174659,2011-10-05T12:29:25.763+03:00,37000
174671,174671,2011-10-05T13:26:38.340+03:00,18000
174686,174686,2011-10-05T13:50:11.118+03:00,7500
174689,174689,2011-10-05T13:51:55.431+03:00,6000
174695,174695,2011-10-05T13:55:35.233+03:00,8000
174707,174707,2011-10-05T14:20:47.567+03:00,12000
174716,174716,2011-10-05T14:38:04.350+03:00,15000
174719,174719,2011-10-05T14:45:19.280+03:00,12000
174722,174722,2011-10-05T14:50:58.652+03:00,17000
174734,174734,2011-10-05T15:08:51.353+03:00,35000
188017,188017,2011-11-22T10:59:28.536+02:00,18000
181237,181237,2011-11-01T11:21:10.459+02:00,5000
174749,174749,2011-10-05T15:23:21.030+03:00,25000
174752,174752,2011-10-05T15:30:26.450+03:00,12000
174758,174758,2011-10-05T15:39:49.916+03:00,15000
174761,174761,2011-10-05T15:41:36.497+03:00,10000
174764,174764,2011-10-05T15:57:08.160+03:00,8000
209529,209529,2012-02-15T02:00:08.149+02:00,17500
174773,174773,2011-10-05T16:10:39.426+03:00,5000
174779,174779,2011-10-05T16:12:35.717+03:00,20000
174785,174785,2011-10-05T16:26:32.310+03:00,8500
181724,181724,2011-11-02T19:17:37.564+02:00,30000
174815,174815,2011-10-05T16:58:01.779+03:00,40000
174818,174818,2011-10-05T16:58:03.155+03:00,15000
174824,174824,2011-10-05T17:18:21.863+03:00,34000
174845,174845,2011-10-05T18:13:23.580+03:00,8000
174851,174851,2011-10-05T18:27:46.417+03:00,5000
174854,174854,2011-10-05T18:28:06.642+03:00,15000
193714,193714,2011-12-15T10:05:30.245+02:00,15000
174869,174869,2011-10-05T19:17:04.212+03:00,20000
174872,174872,2011-10-05T19:47:11.468+03:00,18000
179254,179254,2011-10-23T17:47:31.624+03:00,10000
174878,174878,2011-10-05T19:58:46.915+03:00,22000
174881,174881,2011-10-05T20:04:28.473+03:00,25000
174884,174884,2011-10-05T20:18:31.409+03:00,8500
174890,174890,2011-10-05T20:33:31.037+03:00,5000
174896,174896,2011-10-05T20:47:04.479+03:00,40000
182488,182488,2011-11-05T19:10:25.787+02:00,3000
176413,176413,2011-10-12T12:38:05.877+03:00,15000
177332,177332,2011-10-16T20:02:20.018+03:00,25000
174917,174917,2011-10-05T21:46:18.432+03:00,27500
182044,182044,2011-11-03T19:25:46.817+02:00,3500
174923,174923,2011-10-05T21:52:54.451+03:00,15000
174926,174926,2011-10-05T22:09:57.132+03:00,7500
189106,189106,2011-11-26T01:52:37.222+02:00,14000
174932,174932,2011-10-05T22:11:38.863+03:00,49000
199113,199113,2012-01-08T23:29:49.887+02:00,9300
174938,174938,2011-10-05T22:52:08.108+03:00,5000
174944,174944,2011-10-05T23:07:31.997+03:00,35000
174947,174947,2011-10-05T23:21:19.815+03:00,5000
174953,174953,2011-10-05T23:34:35.702+03:00,6000
174959,174959,2011-10-05T23:43:06.516+03:00,30000
174962,174962,2011-10-06T00:11:56.411+03:00,5500
174965,174965,2011-10-06T00:13:54.600+03:00,35000
174968,174968,2011-10-06T01:09:23.094+03:00,12750
174979,174979,2011-10-06T08:48:43.515+03:00,5000
174985,174985,2011-10-06T11:06:12.861+03:00,99000
174991,174991,2011-10-06T11:28:26.818+03:00,10000
175000,175000,2011-10-06T12:04:32.383+03:00,10000
175015,175015,2011-10-06T12:27:14.314+03:00,30000
175018,175018,2011-10-06T12:43:10.665+03:00,10000
175024,175024,2011-10-06T12:55:33.384+03:00,20000
175027,175027,2011-10-06T12:58:10.620+03:00,11000
175039,175039,2011-10-06T13:12:22.123+03:00,6000
184520,184520,2011-11-11T14:39:02.917+02:00,40000
179411,179411,2011-10-24T13:37:56.052+03:00,5000
175054,175054,2011-10-06T13:34:31.166+03:00,5200
175060,175060,2011-10-06T13:57:39.522+03:00,14226
175078,175078,2011-10-06T15:14:30.678+03:00,7000
175081,175081,2011-10-06T15:18:16.762+03:00,8000
175093,175093,2011-10-06T16:22:15.925+03:00,15000
186893,186893,2011-11-18T10:49:44.081+02:00,5000
175099,175099,2011-10-06T17:00:43.144+03:00,25000
175105,175105,2011-10-06T17:16:46.355+03:00,18000
175114,175114,2011-10-06T18:08:03.759+03:00,16000
175135,175135,2011-10-06T19:31:48.465+03:00,8000
175141,175141,2011-10-06T20:01:44.295+03:00,7000
175147,175147,2011-10-06T20:29:14.524+03:00,10000
185789,185789,2011-11-16T12:17:20.937+02:00,5000
175162,175162,2011-10-06T21:04:34.326+03:00,5000
178212,178212,2011-10-19T14:58:07.803+03:00,3000
175174,175174,2011-10-06T21:46:32.580+03:00,12000
186950,186950,2011-11-18T12:28:10.838+02:00,7500
175180,175180,2011-10-06T22:08:33.501+03:00,5000
175183,175183,2011-10-06T22:21:14.228+03:00,8000
175192,175192,2011-10-06T22:35:46.279+03:00,25000
175195,175195,2011-10-06T22:40:47.368+03:00,28000
175198,175198,2011-10-06T22:43:52.908+03:00,10000
175204,175204,2011-10-06T23:48:32.872+03:00,15750
198274,198274,2012-01-05T13:30:09.519+02:00,8000
175234,175234,2011-10-07T05:49:08.684+03:00,11280
175239,175239,2011-10-07T08:12:29.222+03:00,50000
175248,175248,2011-10-07T10:17:14.997+03:00,14000
175254,175254,2011-10-07T10:32:00.789+03:00,2500
182512,182512,2011-11-05T22:44:48.808+02:00,15000
175266,175266,2011-10-07T11:03:49.041+03:00,15000
182936,182936,2011-11-07T21:20:48.004+02:00,15000
175278,175278,2011-10-07T11:25:11.379+03:00,25000
175281,175281,2011-10-07T11:43:07.300+03:00,15000
175287,175287,2011-10-07T12:26:49.737+03:00,25000
175293,175293,2011-10-07T12:31:57.922+03:00,7800
175302,175302,2011-10-07T12:46:03.522+03:00,20000
175305,175305,2011-10-07T12:49:06.980+03:00,9800
175311,175311,2011-10-07T13:11:59.374+03:00,9000
175323,175323,2011-10-07T13:52:46.707+03:00,6000
197900,197900,2012-01-04T14:03:07.742+02:00,30000
175332,175332,2011-10-07T14:41:44.909+03:00,25000
175335,175335,2011-10-07T14:55:01.268+03:00,5000
193476,193476,2011-12-14T14:20:37.708+02:00,20000
178365,178365,2011-10-19T20:50:40.738+03:00,20000
175344,175344,2011-10-07T15:04:54.360+03:00,15000
175347,175347,2011-10-07T15:07:01.505+03:00,40000
213210,213210,2012-02-27T12:34:57.129+02:00,50000
175365,175365,2011-10-07T15:55:58.504+03:00,8000
175374,175374,2011-10-07T16:06:17.126+03:00,4500
175377,175377,2011-10-07T16:48:45.174+03:00,6000
175383,175383,2011-10-07T16:58:23.816+03:00,20000
187529,187529,2011-11-20T15:35:06.460+02:00,7500
175392,175392,2011-10-07T17:02:52.601+03:00,20000
182374,182374,2011-11-05T01:02:53.596+02:00,5000
175401,175401,2011-10-07T17:11:02.612+03:00,7500
175407,175407,2011-10-07T17:49:12.490+03:00,20000
175410,175410,2011-10-07T18:14:02.406+03:00,3100
175425,175425,2011-10-07T18:42:17.941+03:00,8000
175428,175428,2011-10-07T18:48:06.692+03:00,16000
178936,178936,2011-10-21T19:42:33.094+03:00,25000
191374,191374,2011-12-05T15:45:48.503+02:00,20072
175455,175455,2011-10-07T19:54:42.882+03:00,5000
175476,175476,2011-10-07T20:29:33.893+03:00,9000
175479,175479,2011-10-07T20:34:08.534+03:00,9000
175485,175485,2011-10-07T21:09:47.979+03:00,8000
189880,189880,2011-11-29T17:11:34.766+02:00,2000
175491,175491,2011-10-07T22:28:57.734+03:00,17000
175494,175494,2011-10-07T23:02:38.505+03:00,5000
175497,175497,2011-10-07T23:23:12.936+03:00,10000
175525,175525,2011-10-08T09:42:40.495+03:00,12500
175528,175528,2011-10-08T11:10:02.419+03:00,15500
177866,177866,2011-10-18T17:34:22.016+03:00,5000
175543,175543,2011-10-08T12:27:18.039+03:00,50000
175546,175546,2011-10-08T12:33:52.237+03:00,15000
175549,175549,2011-10-08T12:41:31.940+03:00,10000
175552,175552,2011-10-08T13:36:40.964+03:00,5000
175555,175555,2011-10-08T13:44:38.222+03:00,13000
175567,175567,2011-10-08T15:18:32.410+03:00,8000
180950,180950,2011-10-31T12:41:44.897+02:00,5000
175582,175582,2011-10-08T15:37:45.152+03:00,4000
175585,175585,2011-10-08T15:50:02.114+03:00,22000
175588,175588,2011-10-08T16:20:20.276+03:00,3500
175591,175591,2011-10-08T16:51:52.307+03:00,6000
208055,208055,2012-02-10T12:43:31.919+02:00,7000
175600,175600,2011-10-08T17:49:34.933+03:00,10000
175606,175606,2011-10-08T17:57:49.797+03:00,6000
175615,175615,2011-10-08T18:33:42.052+03:00,7000
175624,175624,2011-10-08T19:33:15.616+03:00,6000
175627,175627,2011-10-08T20:33:16.447+03:00,15500
175630,175630,2011-10-08T20:38:44.614+03:00,10000
175651,175651,2011-10-09T01:50:27.184+03:00,45000
175657,175657,2011-10-09T04:23:16.942+03:00,30000
175672,175672,2011-10-09T11:23:25.630+03:00,17000
175681,175681,2011-10-09T12:18:27.805+03:00,4000
175684,175684,2011-10-09T12:39:33.101+03:00,5000
175687,175687,2011-10-09T12:46:17.671+03:00,19000
175690,175690,2011-10-09T13:13:27.353+03:00,6500
175699,175699,2011-10-09T13:41:32.323+03:00,40000
175702,175702,2011-10-09T13:42:22.376+03:00,5000
175720,175720,2011-10-09T15:24:01.935+03:00,3000
182590,182590,2011-11-06T15:48:44.073+02:00,12000
175735,175735,2011-10-09T16:23:15.394+03:00,20000
175741,175741,2011-10-09T16:35:22.126+03:00,30000
175756,175756,2011-10-09T17:57:29.113+03:00,28500
175765,175765,2011-10-09T18:07:30.441+03:00,21000
175780,175780,2011-10-09T19:50:03.583+03:00,14000
195332,195332,2011-12-23T13:26:33.806+02:00,5000
195594,195594,2011-12-26T11:35:27.204+02:00,5000
210365,210365,2012-02-17T14:06:39.666+02:00,15000
175801,175801,2011-10-09T21:36:58.521+03:00,10000
175804,175804,2011-10-09T21:47:46.297+03:00,20000
175807,175807,2011-10-09T21:59:19.100+03:00,8000
179914,179914,2011-10-26T10:37:49.571+03:00,24000
190788,190788,2011-12-02T17:25:45.954+02:00,5001
175825,175825,2011-10-09T23:17:04.206+03:00,13000
175831,175831,2011-10-09T23:30:59.936+03:00,17500
175834,175834,2011-10-09T23:43:43.853+03:00,15000
179432,179432,2011-10-24T14:21:27.887+03:00,25000
175843,175843,2011-10-10T00:29:42.432+03:00,7000
203624,203624,2012-01-24T17:46:19.407+02:00,45000
175883,175883,2011-10-10T12:08:12.063+03:00,16000
175892,175892,2011-10-10T12:28:16.468+03:00,39000
175910,175910,2011-10-10T13:00:06.263+03:00,10000
175913,175913,2011-10-10T13:01:50.249+03:00,50000
175922,175922,2011-10-10T13:25:15.419+03:00,45000
175937,175937,2011-10-10T15:05:33.319+03:00,10000
175958,175958,2011-10-10T15:46:44.385+03:00,2500
175973,175973,2011-10-10T16:48:41.400+03:00,38000
175976,175976,2011-10-10T17:06:24.193+03:00,6000
175991,175991,2011-10-10T17:41:37.764+03:00,10000
175994,175994,2011-10-10T18:42:47.142+03:00,5000
175997,175997,2011-10-10T18:46:37.911+03:00,3500
176000,176000,2011-10-10T18:59:28.863+03:00,12000
176012,176012,2011-10-10T19:16:58.071+03:00,10000
179567,179567,2011-10-24T22:26:08.954+03:00,10000
176021,176021,2011-10-10T19:44:40.443+03:00,12500
176030,176030,2011-10-10T19:56:42.216+03:00,11000
186574,186574,2011-11-17T19:53:45.418+02:00,20000
176039,176039,2011-10-10T20:40:49.601+03:00,50000
176048,176048,2011-10-10T21:07:01.824+03:00,10000
176051,176051,2011-10-10T21:07:49.825+03:00,10000
176060,176060,2011-10-10T21:33:58.132+03:00,10000
176063,176063,2011-10-10T21:50:47.034+03:00,23000
176069,176069,2011-10-10T22:20:31.056+03:00,20000
176072,176072,2011-10-10T22:30:06.312+03:00,15000
176078,176078,2011-10-10T22:50:15.199+03:00,8000
176081,176081,2011-10-10T22:58:07.674+03:00,50000
176084,176084,2011-10-10T23:04:19.145+03:00,50000
176087,176087,2011-10-10T23:11:45.655+03:00,25000
176090,176090,2011-10-10T23:40:02.143+03:00,7500
176093,176093,2011-10-10T23:57:51.275+03:00,3000
176096,176096,2011-10-11T00:10:52.869+03:00,1500
176105,176105,2011-10-11T05:31:03.965+03:00,25000
176119,176119,2011-10-11T08:45:04.959+03:00,11000
176122,176122,2011-10-11T10:06:28.719+03:00,15000
176131,176131,2011-10-11T10:25:39.475+03:00,16000
176134,176134,2011-10-11T10:42:11.310+03:00,25000
176137,176137,2011-10-11T10:48:26.557+03:00,15000
176146,176146,2011-10-11T11:23:31.606+03:00,10000
176152,176152,2011-10-11T11:56:54.761+03:00,16000
176158,176158,2011-10-11T12:40:20.323+03:00,15000
176167,176167,2011-10-11T13:44:10.676+03:00,12500
176176,176176,2011-10-11T14:16:31.230+03:00,13000
176179,176179,2011-10-11T14:33:57.115+03:00,5000
176182,176182,2011-10-11T14:54:22.686+03:00,10000
176185,176185,2011-10-11T15:17:56.631+03:00,37000
176188,176188,2011-10-11T15:20:16.922+03:00,5000
176203,176203,2011-10-11T15:47:58.566+03:00,13000
176218,176218,2011-10-11T16:39:45.601+03:00,20000
176239,176239,2011-10-11T18:01:40.393+03:00,25000
187385,187385,2011-11-19T16:43:02.468+02:00,25000
176269,176269,2011-10-11T19:44:49.828+03:00,6000
177206,177206,2011-10-15T19:01:00.602+03:00,21000
176278,176278,2011-10-11T20:42:03.637+03:00,5000
176281,176281,2011-10-11T20:48:45.723+03:00,25900
176284,176284,2011-10-11T20:59:55.008+03:00,12500
176287,176287,2011-10-11T21:13:44.017+03:00,7000
176290,176290,2011-10-11T21:19:26.393+03:00,15000
176305,176305,2011-10-11T22:13:29.445+03:00,10000
176308,176308,2011-10-11T22:39:33.812+03:00,10000
194169,194169,2011-12-17T01:14:15.415+02:00,40000
176323,176323,2011-10-11T23:36:19.395+03:00,3250
176326,176326,2011-10-11T23:37:29.243+03:00,10000
176332,176332,2011-10-11T23:57:47.004+03:00,26000
181291,181291,2011-11-01T14:27:23.964+02:00,40000
176345,176345,2011-10-12T04:52:09.595+03:00,20000
176368,176368,2011-10-12T10:21:07.271+03:00,25000
176371,176371,2011-10-12T10:29:41.057+03:00,10000
176374,176374,2011-10-12T10:39:26.635+03:00,15000
184652,184652,2011-11-11T20:14:25.364+02:00,10000
176383,176383,2011-10-12T11:15:41.608+03:00,5000
176386,176386,2011-10-12T11:29:02.515+03:00,9000
